strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Utah/A02861636/2023	OR480693	H3N2	2023-07-06	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02861661/2023	OR480717	H3N2	2023-07-14	Swine	Usa	?	Swine	swine	Swine
A/swine/Pennsylvania/A02861673/2023	OR413807	H3N2	2023-07-07	Swine	Usa	?	Swine	swine	Swine
A/swine/Kansas/A02978505/2023	OR397525	H3N2	2023-05-04	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02978530/2023	OR397527	H3N2	2023-06-09	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02861589/2023	OR334427	H3N2	2023-06-15	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02861505/2023	OR293249	H3N2	2023-05-11	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/21TOSU0768/2021	OR266585	H3N2	2021-05-27	Swine	Usa	?	Swine	swine	Swine
A/swine/Colorado/A02978450/2023	OR243348	H3N2	2023-03-13	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02978451/2023	OR243379	H3N2	2023-03-08	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02978449/2023	OR243387	H3N2	2023-03-14	Swine	Usa	?	Swine	swine	Swine
A/swine/Kansas/A02978429/2023	OR243397	H3N2	2023-02-10	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02978443/2023	OR243398	H3N2	2023-02-24	Swine	Usa	?	Swine	swine	Swine
A/swine/Kansas/A02978456/2023	OR243407	H3N2	2023-03-16	Swine	Usa	?	Swine	swine	Swine
A/swine/Cambodia/PFC64/2022	OQ460197	H3N2	2022-03-22	Swine	Cambodia	?	Swine	swine	Swine
A/swine/Kansas/A02861449/2023	OR144380	H3N2	2023-05-03	Swine	Usa	?	Swine	swine	Swine
A/swine/Arkansas/A02861470/2023	OR144394	H3N2	2023-05-03	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02978501/2023	OR115635	H3N2	2023-05-02	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02861433/2023	OR082963	H3N2	2023-04-25	Swine	Usa	?	Swine	swine	Swine
A/swine/Ohio/A02861391/2023	OR067109	H3N2	2023-04-18	Swine	Usa	?	Swine	swine	Swine
A/swine/Illinois/A02861426/2023	OR067125	H3N2	2023-04-25	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02861435/2023	OR067137	H3N2	2023-04-25	Swine	Usa	?	Swine	swine	Swine
A/duck/Guangxi/4130/2020	OQ293421	H3N2	2020-12-15	Avian	China	?	Duck	duck	Anseriformes
A/environment/Japan/KU-B8/2020	OR048413	H3N2	2020-11-23	Enviroment	Japan	?	Enviroment	enviroment	Enviroment
A/California/36/2023	OR009591	H3N2	2023-01-02	Human	Usa	?	Human	human	Human
A/environment/Iowa/Page-A/2022	OQ968378	H3N2	2022-04-12	Enviroment	Usa	?	Enviroment	enviroment	Enviroment
A/swine/NorthCarolina/A02861348/2023	OQ954400	H3N2	2023-03-31	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02861349/2023	OQ954406	H3N2	2023-03-29	Swine	Usa	?	Swine	swine	Swine
A/Human/NewYorkCity/PV63221/2022	OQ023519	H3N2	2022-05-16	Human	Usa	?	Human	human	Human
A/swine/Iowa/A02861320/2023	OQ859577	H3N2	2023-03-21	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02861296/2023	OQ836476	H3N2	2023-03-17	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02861253/2023	OQ836567	H3N2	2023-03-02	Swine	Usa	?	Swine	swine	Swine
A/USA/10048598708/2022	OQ794395	H3N2	2022-11-28	Human	Usa	?	Human	human	Human
A/swine/Indiana/OH21-5789/2021	OQ737205	H3N2	2021-03-18	Swine	Usa	?	Swine	swine	Swine
A/swine/Ohio/OH21-24933/2021	OQ737501	H3N2	2021-10-26	Swine	Usa	?	Swine	swine	Swine
A/swine/Ohio/OH21-3206/2021	OQ737565	H3N2	2021-02-18	Swine	Usa	?	Swine	swine	Swine
A/swine/Ohio/22TOSU3710/2022	OQ722623	H3N2	2022-08-04	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/22TOSU3199/2022	OQ722639	H3N2	2022-07-31	Swine	Usa	?	Swine	swine	Swine
A/Human/NewYorkCity/PV63095/2022	OP432908	H3N2	2022-06-21	Human	Usa	?	Human	human	Human
A/Human/NewYorkCity/PV63087/2022	OP433298	H3N2	2022-06-19	Human	Usa	?	Human	human	Human
A/swine/Indiana/A02751592/2023	OQ690046	H3N2	2023-02-14	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02861257/2023	OQ690076	H3N2	2023-02-14	Swine	Usa	?	Swine	swine	Swine
A/SouthDakota/43/2022	OQ662827	H3N2	2022-11-16	Human	Usa	?	Human	human	Human
A/swine/Indiana/A02751460/2023	OQ575429	H3N2	2023-01-10	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02751448/2023	OQ575447	H3N2	2023-01-03	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02751446/2023	OQ575457	H3N2	2023-01-02	Swine	Usa	?	Swine	swine	Swine
A/swine/Pennsylvania/A02751476/2023	OQ575481	H3N2	2023-01-17	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02758602/2023	OQ575505	H3N2	2023-02-02	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02751569/2023	OQ575525	H3N2	2023-02-09	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02751427/2022	OQ508800	H3N2	2022-12-20	Swine	Usa	?	Swine	swine	Swine
